"cluster_id","cluster_x","cluster_y","Swedish","Danish","Norwegian","Finnish","Icelandic","English","Other","Unknown","Total"
38,12.970739,59.5412543,42,1,1,0,0,26,4,19,93
39,14.1985661111111,58.6860156666667,157,0,2,0,4,29,56,35,283
40,18.02042625,59.3589332692308,8877,122,146,55,33,5600,1496,932,17261
41,18.4283835,60.386705,15,0,0,0,0,1,1,1,18
42,22.5946015,66.489606,2,0,0,28,0,0,0,0,30
43,23.51346,66.513206,1,0,0,14,0,0,0,0,15
44,16.1008347,59.98051575,102,2,2,0,0,73,10,8,197
45,12.589850875,56.615849,202,2,5,0,0,153,44,24,430
46,13.49591,62.690143,4,0,0,0,0,0,0,0,4
47,18.967192,63.964269,15,0,0,0,0,1,0,1,17
48,21.254209,66.047773,20,0,0,38,0,2,3,6,69
49,16.43840925,61.1213545,51,0,1,0,0,15,1,3,71
50,13.415557,57.3881655,62,0,1,0,0,26,3,3,95
51,16.715886,57.1583203333333,42,0,0,0,0,10,1,4,57
52,15.58905225,60.423136875,126,2,1,1,0,153,7,17,307
53,17.2979070833333,59.3251461666667,291,6,6,0,0,89,23,35,450
54,14.39066875,59.62487075,42,0,0,0,0,17,1,4,64
55,13.6244826,59.4685884,285,2,1,2,0,157,71,81,599
56,15.9208175,64.6821585,0,0,0,0,0,2,1,0,3
57,15.5251085,57.3067511,60,15,1,0,0,10,26,4,116
58,15.76367425,56.5748161666667,312,7,5,0,1,101,51,52,529
59,17.0336955,60.0655055,2,0,0,0,0,1,7,2,12
60,16.3933022,59.2908482,597,6,3,3,1,254,17,75,956
61,15.842093,58.93731075,8,0,0,0,0,10,1,1,20
62,13.372952375,58.428242,61,0,2,0,1,24,11,9,108
63,14.0279448,57.8808961,432,7,10,1,0,75,74,46,645
64,12.431369,57.3062655,150,2,0,1,0,38,12,12,215
65,13.591122,60.0908275,0,0,0,0,0,0,0,0,0
66,19.4656435,67.198665,16,0,0,74,0,1,1,1,93
67,14.899423125,60.336809125,32,1,1,0,0,22,9,31,96
68,13.8182933333333,56.8326863333333,74,1,0,0,0,22,20,5,122
69,17.3456675,58.6664325,47,1,1,0,0,7,3,5,64
70,18.661315,57.696298,171,0,2,1,0,51,7,37,269
71,13.7429415,62.164232,10,0,0,19,0,0,0,2,31
72,17.8621406666667,62.7151231666667,58,0,3,1,0,12,17,11,102
73,13.8097530833333,55.67400825,133,1,2,0,0,52,9,14,211
74,14.618906,57.46246425,30,0,0,0,1,19,13,3,66
75,23.754817,65.748327,3,0,0,18,0,1,1,0,23
76,17.0541605,61.91692925,87,0,1,0,0,8,5,17,118
77,18.6875185,66.9073215,2,0,0,3,0,1,2,0,8
78,23.0083025,65.7634915,20,0,1,29,0,5,1,1,57
79,15.008784625,56.216097125,80,2,2,0,0,32,3,3,122
80,20.592823,68.207941,19,0,0,105,0,8,2,3,137
81,14.1914965,63.802911,11,0,0,0,0,2,1,0,14
82,15.5396215,61.913626,25,1,0,0,0,3,1,3,33
83,22.2299115,65.691135,277,4,1,37,1,43,7,12,382
84,18.41001,64.6515525,9,0,0,0,0,1,0,0,10
85,11.3009169,58.4381282,62,0,1,1,0,12,4,1,81
86,16.6437,56.338615,15,0,0,0,0,2,3,1,21
87,18.779528,65.254725,0,0,0,0,0,0,0,0,0
88,13.2047113333333,60.7470671666667,6,0,2,0,0,3,1,0,12
89,14.49532575,61.23252625,12,0,0,0,0,4,1,0,17
90,19.60184875,63.71098225,28,0,0,0,0,3,2,4,37
91,16.6828192,58.4778727,304,1,5,0,0,106,33,112,561
92,19.0380985,59.752392,46,2,1,6,0,16,14,5,90
93,19.52258775,64.66367425,3,0,0,0,0,0,0,1,4
94,15.52567125,61.25994825,62,0,1,0,0,14,5,1,83
95,22.867224,67.406884,1,0,0,60,0,0,2,1,64
96,21.0645695,65.281744,137,2,3,25,0,18,7,8,200
97,16.110442,63.1616565,1,0,0,0,0,2,0,0,3
98,20.677042375,63.90647775,295,3,4,22,0,50,26,22,422
99,17.1928605,61.287574,15,0,2,0,0,0,0,2,19
100,16.5702605,60.48991,71,1,0,0,0,12,2,10,96
101,14.3815795,55.559747,37,0,0,1,0,9,3,11,61
102,20.7074715,64.745622,88,1,2,54,0,36,4,8,193
103,13.07483675,55.32996025,72,0,1,0,0,45,12,77,207
104,16.9236905,63.441999,25,0,1,0,0,3,1,1,31
105,16.42626025,65.5655105,18,0,0,0,0,4,3,3,28
106,11.033549,58.9541845,31,2,0,0,0,1,2,1,37
107,15.185727,64.2329895,0,0,0,0,0,0,1,0,1
108,17.242557,62.516543,340,39,20,6,2,377,193,54,1031
109,17.776644,59.9583985,631,5,16,2,2,415,215,266,1552
110,18.9564565,59.1866635,87,7,19,0,0,42,28,2,185
111,16.669393,57.8294575,18,0,0,0,0,6,0,0,24
112,14.8548775,56.918339,244,4,5,2,0,84,31,22,392
113,14.2689575,60.460521,0,0,0,0,0,0,0,0,0
114,14.7512865,68.606516625,0,1,5,0,0,17,6,0,29
115,9.724856875,63.4687084375,1,0,7,0,0,7,1,2,18
116,6.73181446153846,62.5395995,1,6,26,0,0,60,30,7,130
117,5.87158594444444,62.2590107777778,0,1,9,0,0,13,6,6,35
118,10.8883969848485,59.8866790606061,115,235,2212,10,7,2920,1114,404,7017
119,10.1446284761905,59.5121462380952,6,26,121,0,2,151,36,22,364
120,10.8175481666667,59.2122598333333,1,4,27,0,0,40,8,15,95
121,10.4128548125,61.0178211875,1,14,90,1,0,48,22,17,193
122,5.1585125,60.53833909375,15,67,462,3,1,444,170,124,1286
123,9.16359175,60.9286836666667,0,1,11,0,0,9,3,1,25
124,10.6299390555556,63.9711670555556,0,27,69,0,0,12,0,1,109
125,8.292863875,60.630435,0,3,17,0,0,2,0,0,22
126,8.13419820833333,58.3941322916667,1,8,67,0,0,265,201,65,607
127,11.5197590714286,60.8539586428571,3,6,45,0,0,40,53,9,156
128,7.67429683333333,61.2772843333333,0,0,2,0,0,25,6,1,34
129,11.563961,59.4495889285714,0,0,18,0,0,14,3,7,42
130,7.31633816666667,58.392349,0,0,3,0,0,134,4,17,158
131,11.97512975,60.2762093333333,1,0,3,0,0,10,0,0,14
132,12.3426132,65.8296867,0,0,2,0,0,6,1,0,9
133,23.202575,70.0481815,0,4,8,19,0,20,1,0,52
134,10.7411086666667,62.2760276666667,0,0,1,0,0,0,1,0,2
135,15.724821,68.730682875,0,0,1,0,0,2,1,0,4
136,5.08623733333333,61.38162625,0,0,4,0,0,5,3,2,14
137,8.3145834,63.2580517,0,0,2,0,0,3,0,0,5
138,7.0733789,60.5201917,0,0,2,0,0,19,33,2,56
139,7.5410824,62.97242,0,2,35,0,0,19,4,7,67
140,9.16874331818182,59.0371408636364,3,4,55,0,0,37,1,0,100
141,5.43120913333333,59.4458112,2,5,69,0,0,88,8,18,190
