"cluster_id","cluster_x","cluster_y","hashtags_text","hashtags_lang","hashtags_freq"
23,17.63062,60.62201417,"50år acros ärdetmatchsnart åsiktsvänstern barbie barbieaccessories bif bigdata bodies bra breakfast brynäs christopheralexander cities company desserts diningout dinner dinnertime faleijs1935 finishingtouch foto_blackwhite fractal friskvårdsavdrag fujinon35mm fujixpro2 galopp gävle gävle gis giscience goodfriends herrbord indulge kidnappning lambday lillasaigon lötisgården moraik moraiklive nuärdetmatch p09 ridsport socialmedia svpol svpol tanter tierpibk topology träningsverk trav treat treats turgrabbarnafickegetbord twittervänstern vore yourself","sv en sv sv sv sv sv und en sv en th und und en en en en en sv en en und sv en en und sv th und und en sv en sv en en en sv sv sv sv sv und sv und sv sv und und und en en sv sv sv en","1 3 1 1 1 1 1 4 1 1 1 1 1 2 1 1 1 2 1 1 1 3 1 1 3 3 1 1 1 4 4 1 1 1 1 1 2 3 1 1 1 1 1 2 3 1 1 1 1 1 1 1 1 1 1 1 1"
24,20.732045,65.762053,NA,NA,NA
25,13.11650993,55.90133207,"<U+0627><U+0644><U+0627><U+062A><U+062D><U+0627><U+062F>_<U+0627><U+0644><U+0627><U+0647><U+0644><U+064A><U+0650> <U+0627><U+0644><U+0627><U+0647><U+0644><U+064A> 35mm about accuracy achieve action advice agree akutrum amatörkock among and and ansiktsmask answer antiimperialismo äntligen arab arbetskraftsinvandrare art article artist artskydd as ásgeir autumn autumn autumn awareness awesome awesomeday bach badmössa balancetonporc barncancerfonden be bekämpabarnfattigdomenimalmö bengalcatworld bengalcatworld bjjforlife bjjlife bjjlifestyle bless bless bubbelbad bubbelpool bulletin but careerarc case catchup cause cause cheerful cheerful cheerfullnes christmas classic classical classical clever clip clip closed cobra colors colors commonsense concentration condolences continouity cooperation copenhagen counterstrike counterterrorist cravings creative cyber cyber d3100 day decoration defence definitely delux democracy democracy develop diplomat diplomatic diplomatic disneyxd disturb disturbed diy dj do doityourself done dostoj dprk dprk drive duggregn e eddie educational egypt eleganten emerged emerged emmyawards emmynominated ended engineering enhance epic epic ericsson etc evergreen everlasting everyone excellent excellent_cats excellent_cats excellent_kittens excellent_kittens existence extension extraordinary extreme fall fall fallenleaves fallenleaves families fatalities fest festklänning financially flipthrough focus for for forward fotmask från freedom freemakeradventures frenchman friendly friendly friends from fruits full fun gb geavdigsjälv genius gentlemen giant global globally god god godbless godbless gods golf good good goodluck goodluck goodmorning goodnight gop grand green had has hat hat have he hemomkring heroic heroic hif hire hiring hits hkr horrible horse horseandnature höstbad höstfärger i i iamjci icelandicmusic ideas idoit iexplore ig_scandinavia ikea imaginative importance important in in info innocent innovation instatravel instrumental interesting interior is is issues it its its japanese jcisweden job jobs journalists just justice kaishokampsport kämpa kattungartillsalu king kingdom know knows koncerthuset kondomer kulturtant läkare lamb landskronabois läraärlivet läsaärlivet latest laurascott league leap leaves leaves legend legendary legitimate legostarwars lets letsthefunbegin liberty lives local lommaspelen lördagsmat lördagsnöje lot lövcykling love lucasfilm luck luck lund make malmo malmö malmö malmö malmø malmoe malmösnöjeshjärta malmöstories march martintimell martyrs masterprogram may mc meantime meditation meduza mersal message mestamästarna metoo migpol militarily ministry mir more more mortartroll motorway mozart music music name naptime nature nature nebiollo nedsattpris nellasshop news news next nikon nikond3100 noble nofilter nonedible nordic not np nyår nyårsklänning nyckelbiotoper objectiveness officers omg on on oneworldbengals oneworldbengals oneworldcats oneworldcats orange örestadsgk other out outfit outrages pact painting park park part peace peacemaker people photographerofinstagram picture pobjeda pollution positive post potato present present productmgmt progress proportional ps pursuing put put putin pyssel quite raccoon rain raising rea reading red relaxation relaxing republic resolute ride right rightful röglebk romanian russian sabadodeganarseguidores sadly sake saturday say schloss science scientist scores season serious serious seriously shl shoes should should siempre signs siguemeytesigo sjukhus skåne skanskaslott small so solnedgång some someone something sonnenuntergang soundcloud soundtrack stability stable state stay step stooges stooges studying suggestion suggestion sunset sunset sunsetporn sunsets surfin svpol sweden sweden sweden sweden swedishafternoontea swift symbolical synpåarbetsmiljön synpåkunskap synpålärande take taking taylormade teamrynkebygmhbg terror tesla2017 thalapathy thalapathyvijay that that their their there these things think thinking thinking thirty this time to to toosoon top towards translator translator transman transomstrans travel treacherous treacherus trees trip turbo tvåstjärnor twittpuck unbelievable und unexpected universe updated urged usa usa usual utsålt utvisainteminaelever valiant victorious victory vinylrecords vinylshop visitsweden viva war warsaw wazzup wearejci weekendpainting while why with with wonderful world world wrong youtube zone","ar ar en und en en en en en sv fi und en und sv en und sv en sv und und und sv en is de en und und und en und sv sv sv en sv en et en en en en und sv sv en en en en no en und en und und en sv en und en en und en sv de und en en en und en is und en ht und en und en en en und und und en und und en en und en en en no sv und no en und en und und sv und und en en und en und en en en en en en und en en und und en und en et en et und en und und de und de und en und und und en en und en und en sv und und en en en und en en de und und und sv und und en und en en und en und en sv en und en und en en und und de und und en und und en sv en und sv en en und sv und en en sv sv en und en is und ht sv und en und en und en und und und sv sv en en en en und und en en und und en en en und en und en en en en en en en is no en sv en sv sv sv en und und en de und sv und en en und sv und und und sv fi sv en sv en en en und en en de en no und und und sv sv und sv en sv en sv en und und en en fi sv sv en en und en und en und en en und en en de und en und und en und en en en und en de en en en und und sv en en und en und en et en et de sv und en und en en en de und en en en en und en und und en en en en und en en en und en en und und no en en de und und en en en und en en und und en sv en en und en en und und sv und und und en en und und sv en en und und en und sv und sv en und und en und und und en und en und en und en en und en en und en und en en en sv de en no und sv en en sv sv sv und und sv sv en und en en en und en und en und und und en und en und en en und en en en en und no no en en und und en und fi sv en en en und und en en und und sv sv en und en en en sv und en en en en en en und en und und en und und en en","1 1 1 3 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 3 2 1 1 2 1 1 1 1 1 1 1 1 2 1 1 2 1 2 1 1 1 1 4 6 2 1 1 3 2 1 1 1 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 2 1 1 2 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 2 3 1 1 1 1 2 1 2 6 8 1 2 1 1 1 3 1 2 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 2 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 2 1 1 3 1 1 1 1 4 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 3 3 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 4 2 1 2 1 1 2 1 1 1 2 1 1 2 1 1 1 1 1 2 1 1 1 1 2 1 1 2 2 1 1 1 1 1 1 1 1 1 2 1 2 1 1 1 1 1 1 1 1 1 1 1 1 2 1 2 1 1 1 1 2 1 1 1 1 1 2 1 2 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 2 1 1 2 1 1 1 2 1 1 1 1 1 1 1 1 1 2 1 2 1 1 1 1 2 1 1 1 1 1 1 1 1 1 2 1 2 2 1 1 1 1 1 1 1 1 1 1 7 1 4 1 1 1 1 2 1 2 2 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 2 1 1 1 1 1 2 2 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 2 1 1 1"
26,12.27776417,58.7858365,NA,NA,NA
27,15.65259925,62.66371075,NA,NA,NA
28,13.190291,63.4988545,"ano åre åre åre årebageri årebageri årebageri årelive åreofsweden åreofsweden åreofsweden åresweden åresweden åresweden höstlovåre höstloviåre kulpåvägen molhos om paodealho saudavel skier vitmagi vitmagi vitmagi","pt da no sv da no sv sv da no sv da no sv sv da sv pt pt pt pt sv da no sv","1 1 1 2 1 1 4 1 1 1 3 1 1 2 1 1 1 1 1 1 1 1 1 1 2"
29,12.134823,59.6293525,"älskatrav örebrotravet v75","sv sv sv","1 1 1"
30,17.7229565,64.201048,NA,NA,NA
31,15.84617863,58.06303113,"ammblogg andaman arbetsskador careerarc endomondo endorphins engineering ericsson ericsson hiring hiring hiring job job job jobs lafamilia lhchockey lindelöf linköping linköping linköping linköpingbudoklubb manutd opensource opensource opensource twittpuck vårdskador vizag yoguibjjsweden","sv en sv ro en en en en ro de en ro de en ro en pt sv en de en ro pt en de en ro sv sv en pt","1 2 1 1 1 1 2 4 1 1 3 2 1 6 2 1 1 2 1 1 1 2 1 1 1 2 2 2 1 2 1"
32,11.87713303,57.80046444,"<U+0625><U+0631><U+0647><U+0627><U+0628> <U+0627><U+0644><U+0648><U+0627><U+062D><U+0627><U+062A> <U+304A><U+3067><U+3093> <U+30A2><U+30E1><U+6751> <U+30E2><U+30C4><U+934B> <U+30EF><U+30A4><U+30F3> <U+5473><U+7A42> alcohol älskadeunge älskardig älskling always äntligenlördag aovnpt art art artingothenburg artingothenburg autumn awesome baleares barncancerkampen beekeeping beeswax bengt bengtärpåbesök biodling bivax blackmetal bohuslän bokprojekt bonusdad bonuspappa bordtennis breasticles brøndbyif brynäs bus careerarc careerarc champagne choicehotels ciscolive cleur coach contemporaryart crystalpalace cyhra czynne democracy donotlook donottouch dota2 elektrobyggnad end equlity equlity ergonomi ericsson eslone europe examweek fall fantastiskt fcn2003 fhc flying flytta fodbold forgive förlovningsfirande framåttillsammans frölunda frolundahc frölundahc frölundaindians fysioterapeut gais gameday geflekryss glömintebortattle golasso goodtimes göteborg göteborg göteborg göteborgskonstmuseum gothenburg gothenburg green habs hälit halloween healthcare hejdåhisingen hiring hiring hissa24an hjärnskada hockey höstlov höstmys humanrights humanrights hyllaniklas hyllaniklas idrott ifyouleave ignant ikea ilovepizza imback impressionism instagram job job jobs johanneberg johnnyberg kaffe karibien kdting kids konstigöteborg kullavik kvalite läkare latergram leaves lekstorpsif leovegas libgbg life live liverpool livinthegoodlife loppisfynd love love majorca mål massör meeto metoo metoo metoosweden migpol mölndal museum museum myslördag närhettillnaturen nattning newcastle night niklasandersson noabuse nonukes norrbottenvinner norwegian norwegianblackmetal nothappy nrcgroup nrcsverige nukörvi nyr opensource orange örebro orkanenirma ornitolog painting peace personcenteredcare photography pizza pizzalicious plantbased politics posthotel potus premierleague productmgmt proudmom pumpa pumpkin pustervik renaissance renaissanceart repost respekt rococo roomservice saik sales såmycketbättre scandinavium scarcrow schweden sculpture segermo selfie shadowselfie shl shlse sjukgymnast skåne snyggaste somewheremagazine spain starwars statue steelers students sunningen sunset svenskjärnvägsteknik sverige sverige sverige svpol sweden sweden swim talent tanjos tårar telephone thegoldenmindset thelastjedi think timeless_streets tottenham tränare trav travel travelphotography triathlon truth tryingtogetherdrunk twittpuck uddevalla uddevallabridge ungisverige uppsalaekeby uppsalaekebygefle uppsalaekebymexico v75 vårbästatidärnu vastsverige västsverige veganpizza vistårinteut westsweden whoop winbabywin wins yeahboii zara zarakids","ar ar ja ja ja ja ja sv no no no und sv en en sv en sv en da en en sv sv de de sv sv es sv sv no no sv sv da sv no en et sv en en en sv en sv en sv en de de en sv en en sv sv en en sv en en sv da und en sv da en no sv sv sv sv sv sv sv sv sv en da en de en sv en en es en sv sv in sv sv en et sv sv sv sv sv en sv en sv sv en en sv ja en en en en et en en sv sv sv sv en en sv sv sv en en sv sv sv en es sv en sv en und en sv sv sv de sv sv sv et en sv sv sv no sv de sv de en sv es es en sv sv sv sv en en sv sv sv sv en sv de en en en en sv en sv en da in in es en en en sv sv en und et sv sv in en en sv en en sv sv sv en no en en en sv sv en en en sv de en sv sv en sv da da en en en en en de en sv sv sv en en en en sv sv en en sv sv sv sv sv sv en sv en sv en en sv und en en en","1 1 1 1 1 1 1 1 1 1 1 1 1 1 4 3 2 2 1 1 2 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 2 1 4 2 1 1 1 1 2 1 1 1 2 1 1 2 1 4 3 1 1 1 1 1 1 1 1 1 1 1 1 5 1 1 1 1 1 1 1 4 1 2 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 5 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 1 1 1 1 4 1 2 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 2 1 1 1 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 3 1 5 2 1 1 1 1 2 1 1 1 1 1 1 1 1 3 1 1 3 1 1 2 1 1 1 1 1 1 1 1 1 1 3 1 1 1 1 9 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1"
