"cluster_id","cluster_x","cluster_y","Swedish","Danish","Norwegian","Finnish","Icelandic","English","Other","Unknown","Total"
45,12.589850875,56.615849,55,0,1,0,0,29,3,5,93
46,13.49591,62.690143,4,0,1,0,0,1,0,0,6
47,18.967192,63.964269,3,0,0,0,0,0,0,0,3
48,21.254209,66.047773,10,0,0,13,0,0,0,1,24
49,16.43840925,61.1213545,13,0,0,0,0,4,0,4,21
50,13.415557,57.3881655,24,0,0,0,0,20,3,4,51
51,16.715886,57.1583203333333,28,0,2,0,0,3,4,3,40
52,15.58905225,60.423136875,33,0,2,0,0,42,4,5,86
53,17.2979070833333,59.3251461666667,79,1,4,0,0,21,8,12,125
54,14.39066875,59.62487075,48,0,0,0,0,0,4,8,60
55,13.6244826,59.4685884,104,3,8,0,0,53,21,52,241
56,15.9208175,64.6821585,2,0,0,0,0,1,0,0,3
57,15.5251085,57.3067511,21,2,0,0,0,7,23,9,62
58,15.76367425,56.5748161666667,97,1,1,0,0,33,18,11,161
59,17.0336955,60.0655055,2,0,0,0,0,3,0,1,6
60,16.3933022,59.2908482,209,1,2,1,0,130,12,25,380
61,15.842093,58.93731075,1,0,0,0,0,0,0,1,2
62,13.372952375,58.428242,23,0,0,0,0,11,7,8,49
63,14.0279448,57.8808961,102,1,3,0,0,16,15,12,149
64,12.431369,57.3062655,26,0,0,0,0,10,2,2,40
65,13.591122,60.0908275,1,0,0,0,0,0,0,0,1
66,19.4656435,67.198665,3,0,0,17,0,0,0,0,20
67,14.899423125,60.336809125,22,2,0,0,1,1,10,5,41
68,13.8182933333333,56.8326863333333,17,0,0,0,0,4,4,0,25
69,17.3456675,58.6664325,32,0,0,0,0,11,0,2,45
70,18.661315,57.696298,64,2,3,0,0,10,0,5,84
71,13.7429415,62.164232,0,0,0,5,0,0,0,1,6
72,17.8621406666667,62.7151231666667,22,1,1,0,0,3,3,2,32
73,13.8097530833333,55.67400825,22,1,0,0,0,2,3,2,30
74,14.618906,57.46246425,5,0,0,0,0,1,1,1,8
75,23.754817,65.748327,0,0,0,6,0,0,0,0,6
76,17.0541605,61.91692925,27,0,0,0,0,1,1,1,30
77,18.6875185,66.9073215,1,0,0,0,0,0,0,0,1
78,23.0083025,65.7634915,17,0,0,11,0,1,1,4,34
79,15.008784625,56.216097125,32,1,0,0,0,10,0,3,46
80,20.592823,68.207941,4,0,0,30,0,1,2,1,38
81,14.1914965,63.802911,1,0,0,1,0,0,0,0,2
82,15.5396215,61.913626,5,0,0,0,0,1,1,0,7
83,22.2299115,65.691135,143,0,1,5,0,9,9,6,173
84,18.41001,64.6515525,2,0,0,0,0,1,0,2,5
85,11.3009169,58.4381282,25,0,0,0,0,14,1,0,40
86,16.6437,56.338615,4,0,0,0,0,0,1,2,7
87,18.779528,65.254725,0,0,0,0,0,0,0,0,0
88,13.2047113333333,60.7470671666667,7,0,0,0,0,3,0,0,10
89,14.49532575,61.23252625,4,0,1,0,0,0,0,0,5
90,19.60184875,63.71098225,7,0,0,0,0,0,0,2,9
91,16.6828192,58.4778727,193,1,4,0,0,36,33,16,283
92,19.0380985,59.752392,27,1,0,0,1,50,2,2,83
93,19.52258775,64.66367425,3,0,0,0,0,0,0,0,3
94,15.52567125,61.25994825,9,0,0,0,0,7,5,2,23
95,22.867224,67.406884,0,0,0,20,0,0,1,0,21
96,21.0645695,65.281744,37,0,2,12,0,8,0,6,65
97,16.110442,63.1616565,0,0,0,0,0,0,0,0,0
98,20.677042375,63.90647775,94,4,0,8,0,15,9,5,135
99,17.1928605,61.287574,9,0,0,0,0,2,0,0,11
100,16.5702605,60.48991,20,0,1,0,0,28,3,1,53
101,14.3815795,55.559747,43,0,1,0,0,2,1,1,48
102,20.7074715,64.745622,20,0,0,11,0,10,2,0,43
103,13.07483675,55.32996025,33,0,0,0,1,7,1,6,48
104,16.9236905,63.441999,14,1,1,0,0,0,0,0,16
105,16.42626025,65.5655105,7,0,0,0,0,0,0,1,8
106,11.033549,58.9541845,0,0,1,0,0,3,3,1,8
107,15.185727,64.2329895,1,0,0,0,0,0,0,0,1
108,17.242557,62.516543,96,6,11,0,1,115,28,10,267
109,17.776644,59.9583985,319,2,1,0,0,97,41,32,492
110,18.9564565,59.1866635,11,3,10,0,0,10,2,1,37
111,16.669393,57.8294575,12,1,0,0,0,6,0,0,19
112,14.8548775,56.918339,61,0,3,1,0,3,6,3,77
113,14.2689575,60.460521,1,1,0,0,0,0,1,0,3
114,14.7512865,68.606516625,0,0,1,0,0,4,0,1,6
115,9.724856875,63.4687084375,1,0,10,0,0,11,3,0,25
116,6.73181446153846,62.5395995,1,1,24,0,0,29,3,11,69
117,5.87158594444444,62.2590107777778,0,0,4,0,0,2,0,0,6
118,10.8883969848485,59.8866790606061,21,51,434,4,4,556,362,92,1524
119,10.1446284761905,59.5121462380952,7,11,85,5,0,59,12,8,187
120,10.8175481666667,59.2122598333333,3,3,12,0,0,7,1,2,28
121,10.4128548125,61.0178211875,0,3,37,0,0,16,4,3,63
122,5.1585125,60.53833909375,4,10,94,0,0,125,27,16,276
123,9.16359175,60.9286836666667,0,1,5,0,0,2,0,1,9
124,10.6299390555556,63.9711670555556,1,0,8,0,0,0,0,0,9
125,8.292863875,60.630435,0,0,0,0,0,1,0,0,1
126,8.13419820833333,58.3941322916667,1,1,26,0,1,61,17,9,116
127,11.5197590714286,60.8539586428571,0,0,12,0,0,9,9,0,30
128,7.67429683333333,61.2772843333333,0,0,0,0,0,8,2,0,10
129,11.563961,59.4495889285714,1,0,6,0,0,1,0,0,8
130,7.31633816666667,58.392349,0,0,2,0,0,2,0,0,4
131,11.97512975,60.2762093333333,0,0,0,0,0,4,0,0,4
132,12.3426132,65.8296867,0,0,0,0,0,0,1,0,1
133,23.202575,70.0481815,0,1,1,11,0,4,2,0,19
134,10.7411086666667,62.2760276666667,0,0,0,0,0,0,0,0,0
135,15.724821,68.730682875,0,0,0,0,0,0,0,1,1
136,5.08623733333333,61.38162625,0,0,1,0,0,3,2,0,6
137,8.3145834,63.2580517,0,0,2,0,0,5,1,0,8
138,7.0733789,60.5201917,0,0,0,0,0,18,10,1,29
139,7.5410824,62.97242,0,3,12,0,0,7,2,0,24
140,9.16874331818182,59.0371408636364,0,0,12,0,0,11,4,1,28
141,5.43120913333333,59.4458112,1,7,31,0,0,41,11,3,94
142,29.9015755,70.35898625,0,0,1,2,0,0,0,0,3
143,6.11065457142857,61.4420138571429,2,2,19,0,0,2,1,1,27
144,16.93245325,68.549908375,0,0,0,0,0,0,0,0,0
145,19.1753825,68.9835801666667,0,0,0,0,0,6,0,0,6
146,9.751645,59.1060115,0,0,1,0,0,17,0,3,21
147,14.513526,66.6658455,0,1,7,0,0,0,1,5,14
148,17.55668425,68.98949125,0,0,1,0,0,0,0,0,1
149,29.065419,70.7061425,0,0,0,0,0,0,0,0,0
150,12.083189875,65.026225875,0,0,1,0,0,0,1,0,2
151,16.4430341666667,68.8409783333333,0,0,0,0,0,4,0,1,5
152,6.32359827272727,58.7423489090909,1,1,24,0,0,9,26,12,73
153,13.7098238333333,67.1524376666667,2,1,14,0,0,4,1,1,23
154,5.6686701,58.7846665,3,7,49,2,1,71,16,6,155
155,7.31649,59.298271,0,0,0,0,0,0,0,0,0
156,9.70977875,62.39279575,1,0,1,0,0,0,2,0,4
157,5.23589225,62.03245925,0,0,3,0,0,0,0,0,3
158,11.9045595,61.974533,0,0,0,0,0,0,0,0,0
159,6.01170314285714,60.2320157857143,0,0,1,0,0,1,4,0,6
160,9.492466,60.2160869166667,0,0,4,0,0,0,0,0,4
161,6.7305145,58.1213525,0,0,0,0,0,1,0,0,1
162,15.6852078333333,67.2118155,0,0,4,0,0,0,1,0,5
163,12.9610503333333,67.8893833333333,0,0,1,0,0,1,1,1,4
164,11.3503723333333,64.5003548333333,0,0,0,0,0,0,1,1,2
165,10.883126,64.864978,0,0,0,0,0,0,0,0,0
166,8.6837998,59.6684197,0,0,4,0,0,2,1,0,7
167,11.390126,65.153664,0,0,0,0,0,0,0,0,0
168,8.8933055,63.9260945,0,0,0,0,0,0,1,0,1
169,11.085525875,63.432017625,0,0,14,0,0,5,4,3,26
170,10.424807375,63.184291375,2,11,91,0,0,99,18,14,235
171,8.17989383333333,59.2197721666667,0,0,1,0,0,0,1,0,2
172,28.0535205,70.7719175,0,0,0,0,0,0,0,0,0
173,9.632684375,61.5588875,0,0,3,0,0,0,0,0,3
174,13.151603875,65.900091875,0,1,6,0,0,0,3,0,10
175,6.58664216666667,60.995027,0,0,1,0,0,1,0,0,2
176,12.5915505,64.362894,1,16,66,0,0,71,22,0,176
177,15.7944275,67.9007575,0,0,0,0,0,0,0,0,0
178,23.4540525,70.71506,0,0,0,0,0,1,0,0,1
179,21.9923026666667,70.2186406666667,0,1,0,7,0,0,0,0,8
180,14.04672075,65.7554465,0,0,0,0,0,0,0,0,0
181,8.9704325,62.970402875,0,0,2,0,0,1,0,0,3
182,11.50597225,62.704513875,0,0,0,0,0,0,0,0,0
183,6.716531,61.90948775,0,0,0,0,0,0,0,0,0
184,10.269373,60.30478875,0,2,7,0,0,1,0,3,13
185,20.78313725,69.7619775,0,0,0,6,0,0,0,0,6
186,25.2245295,69.3919555,0,0,1,13,0,0,0,0,14
187,19.4372165,70.0712295,0,0,0,0,0,0,0,0,0
188,23.6932005,69.133799,0,0,0,21,0,0,0,0,21
189,21.4587395,69.5253265,0,0,0,17,0,1,0,0,18
190,24.122824,70.4216605,0,0,0,0,0,0,1,0,1
191,26.8279485,70.557405,0,0,0,0,0,0,0,0,0
192,7.112826,61.254018,0,0,15,0,0,1,1,0,17
193,12.8436005,66.5719405,0,0,0,0,0,0,0,0,0
194,18.091231,69.24669875,0,0,1,0,0,1,0,0,2
195,8.68496083333333,61.8689828333333,0,1,4,0,0,1,3,0,9
196,13.64794775,64.6183455,0,0,1,0,0,0,0,0,1
197,12.165733,66.5034405,0,0,0,0,0,0,0,0,0
198,20.24822425,69.48675325,0,0,0,0,0,0,0,0,0
199,24.5565965,70.8911325,0,0,5,0,0,0,1,0,6
200,11.8680685,63.7620011666667,0,1,14,0,0,1,2,0,18
201,5.930594,60.880009,0,0,0,0,0,0,0,0,0
202,13.072472,64.8102355,0,0,0,0,0,0,0,0,0
203,17.6043605,68.2881045,0,0,1,0,0,5,1,1,8
204,28.8300235,70.1276895,0,0,0,2,0,0,0,0,2
205,7.9495575,62.51923925,0,1,19,0,0,4,0,0,24
206,7.424698,62.251269,0,0,1,0,0,0,0,0,1
207,25.866121,70.9266075,0,0,1,0,0,1,1,0,3
208,6.61090283333333,59.7305848333333,0,1,7,1,0,22,0,1,32
209,11.915479,64.4805795,0,0,0,0,0,0,0,0,0
210,25.0311745,70.2429465,0,1,0,5,0,0,0,0,6
211,12.2054395,67.502487,0,0,0,0,0,0,0,0,0
212,10.9298395,61.694063,0,0,0,0,0,0,0,0,0
213,29.727145,69.504585,0,0,0,12,0,0,0,0,12
214,7.966991,61.9342395,0,0,0,0,0,0,0,0,0
215,15.113155,67.8596805,0,0,0,0,0,0,0,0,0
216,27.5006895,70.2834565,0,0,0,1,0,0,1,0,2
217,16.949149,69.30834,0,1,0,0,0,0,0,0,1
218,18.9258115,69.7104015,0,4,26,0,0,21,22,6,79
219,12.303966,61.3563735,1,0,0,0,0,0,0,0,1
220,16.5041435,67.9698075,0,0,0,0,0,0,0,0,0
221,8.447449,61.1926085,0,0,0,0,0,1,0,0,1
222,30.6460575,70.326849,0,0,0,0,0,1,0,0,1
223,11.732621,65.743596,0,0,0,0,0,0,0,0,0
224,13.756594,68.198278,0,0,0,0,0,0,2,0,2
225,7.7103635,59.807207,0,0,0,0,0,1,0,0,1
226,25.679592,62.3986639444444,0,0,0,111,0,22,13,8,154
227,23.90383,62.7103398636364,0,0,0,13,0,1,3,0,17
228,22.4821787931034,60.7195604655172,6,1,0,222,1,64,29,38,361
229,23.5749726176471,61.1107322647059,1,0,0,75,0,18,5,3,102
230,23.92609375,63.760357125,2,0,0,25,0,2,0,1,30
231,25.3952402962963,60.5963623333333,1,1,1,272,0,210,63,42,590
232,25.74995525,61.4562518333333,0,0,0,21,0,0,1,1,23
233,24.6176643333333,60.3876739761905,20,3,3,1073,3,513,258,91,1964
234,21.7576638333333,62.2407312,0,0,0,22,0,1,0,3,26
235,24.3487041,66.3236306,0,0,0,15,0,2,0,0,17
236,21.8581064333333,61.3607477666667,2,0,0,39,0,18,88,8,155
237,21.0149065,60.5448659285714,0,0,0,13,0,2,1,0,16
238,24.985508125,64.674876375,0,0,0,18,0,1,1,0,20
239,19.9940188636364,60.1989781818182,15,0,0,2,0,2,0,0,19
240,27.0890691666667,69.2489131666667,0,0,0,73,0,0,2,0,75
241,29.0975801111111,62.2210886111111,0,0,0,25,0,1,2,1,29
242,22.7871955,68.7140905,0,0,0,23,0,1,0,0,24
243,23.2075131666667,63.3198613888889,1,0,0,13,0,1,0,1,16
