"cluster_id","cluster_x","cluster_y","Swedish","Danish","Norwegian","Finish","Icelandic","English","Other","Unknown","Total"
49,16.43840925,61.1213545,10,0,0,0,0,0,1,0,11
50,13.415557,57.3881655,21,0,0,0,0,9,3,3,36
51,16.715886,57.1583203333333,15,1,0,0,0,2,1,3,22
52,15.58905225,60.423136875,57,2,1,1,0,32,5,10,108
53,17.2979070833333,59.3251461666667,95,2,2,0,1,32,8,9,149
54,14.39066875,59.62487075,13,0,0,0,0,3,3,0,19
55,13.6244826,59.4685884,91,0,2,0,0,22,14,9,138
56,15.9208175,64.6821585,1,0,0,0,0,0,1,0,2
57,15.5251085,57.3067511,20,0,0,0,1,1,0,1,23
58,15.76367425,56.5748161666667,74,4,0,0,0,19,9,7,113
59,17.0336955,60.0655055,0,0,0,0,0,0,1,0,1
60,16.3933022,59.2908482,170,1,2,1,1,82,14,28,299
61,15.842093,58.93731075,5,0,0,0,0,5,0,1,11
62,13.372952375,58.428242,15,2,0,0,0,6,4,4,31
63,14.0279448,57.8808961,90,2,2,1,2,15,26,11,149
64,12.431369,57.3062655,17,2,0,0,0,13,2,3,37
65,13.591122,60.0908275,4,0,0,0,0,0,0,0,4
66,19.4656435,67.198665,7,0,0,20,0,2,1,0,30
67,14.899423125,60.336809125,24,0,1,0,0,6,10,7,48
68,13.8182933333333,56.8326863333333,20,1,0,0,0,4,3,0,28
69,17.3456675,58.6664325,14,0,0,0,0,11,3,3,31
70,18.661315,57.696298,56,1,0,0,0,19,5,5,86
71,13.7429415,62.164232,0,0,0,7,0,0,0,0,7
72,17.8621406666667,62.7151231666667,28,1,0,0,0,11,5,3,48
73,13.8097530833333,55.67400825,19,0,0,0,0,7,9,3,38
74,14.618906,57.46246425,5,0,0,0,0,0,5,1,11
75,23.754817,65.748327,0,0,0,4,0,0,0,0,4
76,17.0541605,61.91692925,41,0,0,0,0,0,3,1,45
77,18.6875185,66.9073215,1,0,0,3,0,0,0,0,4
78,23.0083025,65.7634915,29,1,0,10,0,3,2,2,47
79,15.008784625,56.216097125,25,1,0,1,1,34,1,6,69
80,20.592823,68.207941,10,0,0,33,0,3,0,0,46
81,14.1914965,63.802911,2,0,0,0,0,0,0,0,2
82,15.5396215,61.913626,2,0,0,0,0,1,2,0,5
83,22.2299115,65.691135,118,0,2,11,0,18,7,10,166
84,18.41001,64.6515525,1,0,0,0,0,0,0,0,1
85,11.3009169,58.4381282,27,0,0,0,0,2,2,0,31
86,16.6437,56.338615,4,0,0,0,0,0,0,0,4
87,18.779528,65.254725,1,0,0,0,0,0,0,0,1
88,13.2047113333333,60.7470671666667,0,0,0,0,0,0,0,0,0
89,14.49532575,61.23252625,5,0,0,0,0,0,0,0,5
90,19.60184875,63.71098225,11,0,0,0,0,2,0,2,15
91,16.6828192,58.4778727,89,1,2,3,0,12,8,14,129
92,19.0380985,59.752392,9,0,0,0,0,0,2,1,12
93,19.52258775,64.66367425,1,0,0,0,0,0,0,0,1
94,15.52567125,61.25994825,4,0,0,0,0,6,1,0,11
95,22.867224,67.406884,0,0,0,23,0,0,0,0,23
96,21.0645695,65.281744,41,1,0,9,0,5,1,4,61
97,16.110442,63.1616565,0,0,0,0,0,1,0,0,1
98,20.677042375,63.90647775,65,0,0,7,0,9,4,6,91
99,17.1928605,61.287574,6,0,0,0,0,0,0,0,6
100,16.5702605,60.48991,35,1,1,0,0,3,2,2,44
101,14.3815795,55.559747,7,0,0,0,0,2,0,0,9
102,20.7074715,64.745622,22,1,0,12,0,6,0,2,43
103,13.07483675,55.32996025,4,0,0,0,0,8,0,1,13
104,16.9236905,63.441999,2,0,0,0,0,0,0,0,2
105,16.42626025,65.5655105,3,0,0,0,0,0,0,0,3
106,11.033549,58.9541845,7,0,1,0,0,0,0,1,9
107,15.185727,64.2329895,0,0,0,0,0,0,1,0,1
108,17.242557,62.516543,78,1,1,1,0,73,17,0,171
109,17.776644,59.9583985,148,2,3,0,2,209,34,55,453
110,18.9564565,59.1866635,7,3,10,0,0,7,10,1,38
111,16.669393,57.8294575,7,0,0,1,0,6,1,0,15
112,14.8548775,56.918339,88,2,0,1,0,5,7,7,110
113,14.2689575,60.460521,4,0,0,0,1,0,0,2,7
114,14.7512865,68.606516625,0,0,0,0,0,0,3,0,3
115,9.724856875,63.4687084375,0,0,1,0,0,0,0,0,1
116,6.73181446153846,62.5395995,0,1,13,0,0,9,6,2,31
117,5.87158594444444,62.2590107777778,0,2,6,0,0,3,1,1,13
118,10.8883969848485,59.8866790606061,32,84,662,7,4,712,222,116,1839
119,10.1446284761905,59.5121462380952,3,14,54,0,0,40,9,10,130
120,10.8175481666667,59.2122598333333,2,1,8,0,0,25,3,31,70
121,10.4128548125,61.0178211875,2,1,38,2,0,27,7,7,84
122,5.1585125,60.53833909375,6,6,75,0,0,97,73,10,267
123,9.16359175,60.9286836666667,0,0,0,0,0,3,0,0,3
124,10.6299390555556,63.9711670555556,0,6,19,0,0,1,0,0,26
125,8.292863875,60.630435,0,0,0,0,0,1,1,0,2
126,8.13419820833333,58.3941322916667,0,5,34,0,0,63,80,19,201
127,11.5197590714286,60.8539586428571,1,3,12,0,0,5,5,0,26
128,7.67429683333333,61.2772843333333,0,0,0,0,0,10,5,0,15
129,11.563961,59.4495889285714,4,0,4,0,0,3,1,0,12
130,7.31633816666667,58.392349,0,1,1,0,0,19,2,3,26
131,11.97512975,60.2762093333333,0,0,0,0,0,3,0,0,3
132,12.3426132,65.8296867,0,0,0,0,0,1,0,0,1
133,23.202575,70.0481815,0,0,0,9,0,8,7,0,24
134,10.7411086666667,62.2760276666667,0,0,0,0,0,0,0,0,0
135,15.724821,68.730682875,0,0,2,0,0,0,1,0,3
136,5.08623733333333,61.38162625,0,0,0,0,0,3,4,0,7
137,8.3145834,63.2580517,0,0,0,0,0,0,0,0,0
138,7.0733789,60.5201917,0,0,1,0,0,9,8,2,20
139,7.5410824,62.97242,0,5,6,0,1,8,4,1,25
140,9.16874331818182,59.0371408636364,0,1,8,0,0,11,1,1,22
141,5.43120913333333,59.4458112,4,3,20,0,0,10,1,3,41
142,29.9015755,70.35898625,0,0,0,5,0,1,1,0,7
143,6.11065457142857,61.4420138571429,0,1,9,0,0,0,1,0,11
144,16.93245325,68.549908375,0,0,0,0,0,0,0,0,0
145,19.1753825,68.9835801666667,0,0,0,0,0,1,0,0,1
146,9.751645,59.1060115,0,2,2,0,0,2,0,2,8
147,14.513526,66.6658455,0,0,1,0,0,0,0,0,1
148,17.55668425,68.98949125,0,2,7,0,0,1,0,0,10
149,29.065419,70.7061425,0,0,0,0,0,0,0,0,0
150,12.083189875,65.026225875,0,0,0,0,0,0,0,0,0
151,16.4430341666667,68.8409783333333,0,0,1,0,0,2,0,1,4
152,6.32359827272727,58.7423489090909,3,4,23,1,0,39,64,6,140
153,13.7098238333333,67.1524376666667,0,2,14,0,0,15,5,2,38
154,5.6686701,58.7846665,5,15,52,1,1,34,4,3,115
155,7.31649,59.298271,0,0,0,0,0,0,0,0,0
156,9.70977875,62.39279575,0,0,1,0,0,1,0,0,2
157,5.23589225,62.03245925,0,0,0,0,0,0,0,0,0
158,11.9045595,61.974533,0,0,0,0,0,0,0,0,0
159,6.01170314285714,60.2320157857143,0,4,2,0,0,2,0,0,8
160,9.492466,60.2160869166667,0,0,1,0,0,1,0,0,2
161,6.7305145,58.1213525,0,0,1,0,0,0,0,0,1
162,15.6852078333333,67.2118155,0,0,0,0,0,0,1,0,1
163,12.9610503333333,67.8893833333333,0,0,0,0,0,0,0,0,0
164,11.3503723333333,64.5003548333333,0,0,0,0,0,0,0,0,0
165,10.883126,64.864978,0,0,2,0,0,0,0,0,2
166,8.6837998,59.6684197,0,0,2,0,0,2,1,0,5
167,11.390126,65.153664,0,0,0,0,0,0,0,0,0
168,8.8933055,63.9260945,0,0,0,0,0,0,0,0,0
169,11.085525875,63.432017625,1,1,14,0,0,17,1,5,39
170,10.424807375,63.184291375,6,26,127,0,0,77,12,15,263
171,8.17989383333333,59.2197721666667,0,0,0,0,0,0,0,0,0
172,28.0535205,70.7719175,0,0,0,0,0,0,0,0,0
173,9.632684375,61.5588875,0,0,1,0,0,0,0,1,2
174,13.151603875,65.900091875,0,1,1,0,0,1,0,0,3
175,6.58664216666667,60.995027,0,0,0,0,0,2,3,1,6
176,12.5915505,64.362894,0,6,17,0,0,36,14,0,73
177,15.7944275,67.9007575,0,0,0,0,0,0,0,0,0
178,23.4540525,70.71506,0,0,0,0,0,0,0,0,0
179,21.9923026666667,70.2186406666667,0,0,0,7,0,0,0,0,7
180,14.04672075,65.7554465,0,0,0,0,0,0,0,0,0
181,8.9704325,62.970402875,0,9,59,0,0,2,1,6,77
182,11.50597225,62.704513875,1,1,4,0,0,0,1,1,8
183,6.716531,61.90948775,0,0,0,0,0,0,0,0,0
184,10.269373,60.30478875,0,0,1,0,0,1,0,0,2
185,20.78313725,69.7619775,0,0,1,7,0,0,2,0,10
186,25.2245295,69.3919555,0,0,0,9,0,0,0,0,9
187,19.4372165,70.0712295,0,0,0,0,0,0,0,0,0
188,23.6932005,69.133799,0,0,0,33,0,0,2,0,35
189,21.4587395,69.5253265,0,0,0,10,0,0,0,0,10
190,24.122824,70.4216605,0,0,0,0,0,0,0,0,0
191,26.8279485,70.557405,0,0,0,0,0,0,0,0,0
192,7.112826,61.254018,0,0,7,0,0,0,0,0,7
193,12.8436005,66.5719405,0,0,1,0,0,0,0,0,1
194,18.091231,69.24669875,0,0,2,0,0,0,0,0,2
195,8.68496083333333,61.8689828333333,0,0,0,0,0,1,0,0,1
